Date,Site,Pool,Replicate,Sampling_type,Sampling_volume_ml,Count,Larvae_ml,Pool_Bin_volume,Total_Larvae
6/12/2020,Wistari,1,1,Niskin,500,91,0.2,5000000,910000
6/12/2020,Wistari,1,2,Niskin,500,118,0.2,5000000,1180000
6/12/2020,Wistari,1,3,Niskin,500,204,0.4,5000000,2040000
6/12/2020,Wistari,2,1,Niskin,500,110,0.2,5000000,1100000
6/12/2020,Wistari,2,2,Niskin,500,122,0.2,5000000,1220000
6/12/2020,Wistari,2,3,Niskin,500,151,0.3,5000000,1510000
6/12/2020,Wistari,3,1,Niskin,500,36,0.1,5000000,360000
6/12/2020,Wistari,3,2,Niskin,500,30,0.1,5000000,300000
6/12/2020,Wistari,3,3,Niskin,500,7,0,5000000,70000
7/12/2020,Wistari,1,1,Niskin,500,165,0.3,5000000,1650000
7/12/2020,Wistari,1,2,Niskin,500,154,0.3,5000000,1540000
7/12/2020,Wistari,1,3,Niskin,500,158,0.3,5000000,1580000
7/12/2020,Wistari,2,1,Niskin,500,72,0.1,5000000,720000
7/12/2020,Wistari,2,2,Niskin,500,83,0.2,5000000,830000
7/12/2020,Wistari,2,3,Niskin,500,75,0.2,5000000,750000
7/12/2020,Wistari,3,1,Niskin,500,8,0,5000000,80000
7/12/2020,Wistari,3,2,Niskin,500,15,0,5000000,150000
7/12/2020,Wistari,3,3,Niskin,500,48,0.1,5000000,480000
8/12/2020,Wistari,1,1,Niskin,500,148,0.3,5000000,1480000
8/12/2020,Wistari,1,2,Niskin,500,133,0.3,5000000,1330000
8/12/2020,Wistari,1,3,Niskin,500,159,0.3,5000000,1590000
8/12/2020,Wistari,2,1,Niskin,500,13,0,5000000,130000
8/12/2020,Wistari,2,2,Niskin,500,14,0,5000000,140000
8/12/2020,Wistari,2,3,Niskin,500,29,0.1,5000000,290000
8/12/2020,Wistari,3,1,Niskin,500,13,0,5000000,130000
8/12/2020,Wistari,3,2,Niskin,500,10,0,5000000,100000
8/12/2020,Wistari,3,3,Niskin,500,10,0,5000000,100000
9/12/2020,Wistari,1,1,Niskin,500,187,0.4,5000000,1870000
9/12/2020,Wistari,1,2,Niskin,500,183,0.4,5000000,1830000
9/12/2020,Wistari,1,3,Niskin,500,142,0.3,5000000,1420000
9/12/2020,Wistari,2,1,Niskin,500,78,0.2,5000000,780000
9/12/2020,Wistari,2,2,Niskin,500,40,0.1,5000000,400000
9/12/2020,Wistari,2,3,Niskin,500,38,0.1,5000000,380000
9/12/2020,Wistari,3,1,Niskin,500,11,0,5000000,110000
9/12/2020,Wistari,3,2,Niskin,500,4,0,5000000,40000
9/12/2020,Wistari,3,3,Niskin,500,28,0.1,5000000,280000
10/12/2020,Wistari,1,1,Niskin,500,42,0.1,5000000,420000
10/12/2020,Wistari,1,2,Niskin,500,54,0.1,5000000,540000
10/12/2020,Wistari,1,3,Niskin,500,NA,NA,5000000,NA
10/12/2020,Wistari,2,1,Niskin,500,18,0,5000000,180000
10/12/2020,Wistari,2,2,Niskin,500,44,0.1,5000000,440000
10/12/2020,Wistari,2,3,Niskin,500,48,0.1,5000000,480000
10/12/2020,Wistari,3,1,Niskin,500,NA,NA,5000000,NA
10/12/2020,Wistari,3,2,Niskin,500,4,0,5000000,40000
10/12/2020,Wistari,3,3,Niskin,500,3,0,5000000,30000
6/12/2020,Wistari,4,1,Niskin,500,141,9.4,66000,620400
6/12/2020,Wistari,4,2,Niskin,500,285,19,66000,1254000
6/12/2020,Wistari,4,3,Niskin,500,237,15.8,66000,1042800
6/12/2020,Wistari,5,1,Niskin,500,110,7.3,67000,491333.3333
6/12/2020,Wistari,5,2,Niskin,500,122,8.1,67000,544933.3333
6/12/2020,Wistari,5,3,Niskin,500,151,10.1,67000,674466.6667
7/12/2020,Wistari,4,1,Niskin,500,5,0.01,5000000,50000
7/12/2020,Wistari,4,2,Niskin,500,9,0.02,5000000,90000
7/12/2020,Wistari,4,3,Niskin,500,11,0.02,5000000,110000
7/12/2020,Wistari,5,1,Niskin,500,6,0.01,5000000,60000
7/12/2020,Wistari,5,2,Niskin,500,14,0.03,5000000,140000
7/12/2020,Wistari,5,3,Niskin,500,4,0.01,5000000,40000
8/12/2020,Wistari,4,1,Niskin,500,9,0.02,5000000,90000
8/12/2020,Wistari,4,2,Niskin,500,9,0.02,5000000,90000
8/12/2020,Wistari,4,3,Niskin,500,4,0.01,5000000,40000
8/12/2020,Wistari,5,1,Niskin,500,11,0.02,5000000,110000
8/12/2020,Wistari,5,2,Niskin,500,7,0.01,5000000,70000
8/12/2020,Wistari,5,3,Niskin,500,10,0.02,5000000,100000
9/12/2020,Wistari,4,1,Niskin,500,8,0.02,5000000,80000
9/12/2020,Wistari,4,2,Niskin,500,5,0.01,5000000,50000
9/12/2020,Wistari,4,3,Niskin,500,7,0.01,5000000,70000
9/12/2020,Wistari,5,1,Niskin,500,4,0.01,5000000,40000
9/12/2020,Wistari,5,2,Niskin,500,8,0.02,5000000,80000
9/12/2020,Wistari,5,3,Niskin,500,3,0.01,5000000,30000
11/12/2020,Wistari,4,1,Niskin,500,0,0,5000000,0
11/12/2020,Wistari,4,2,Niskin,500,0,0,5000000,0
11/12/2020,Wistari,4,3,Niskin,500,2,0,5000000,20000
11/12/2020,Wistari,5,1,Niskin,500,2,0,5000000,20000
11/12/2020,Wistari,5,2,Niskin,500,2,0,5000000,20000
11/12/2020,Wistari,5,3,Niskin,500,2,0,5000000,20000
11/12/2020,Wistari,4,1,Tube,15,348,23.2,16000,371200
11/12/2020,Wistari,4,2,Tube,15,357,23.8,16000,380800
11/12/2020,Wistari,4,3,Tube,15,412,27.47,16000,439466.6667
11/12/2020,Wistari,5,1,Tube,15,336,22.4,18000,403200
11/12/2020,Wistari,5,2,Tube,15,277,18.47,18000,332400
11/12/2020,Wistari,5,3,Tube,15,343,22.87,18000,411600
